"filename", "language", "HTML", "JavaScript", "JSON", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\apis\users.js", "JavaScript", 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\App.js", "JavaScript", 0, 41, 0, 0, 0, 0, 4, 45
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\BasicModal.js", "JavaScript", 0, 27, 0, 0, 0, 0, 5, 32
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\DatePicker.js", "JavaScript", 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\DropdownButton.js", "JavaScript", 0, 16, 0, 0, 0, 1, 3, 20
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\Filter.js", "JavaScript", 0, 17, 0, 0, 0, 1, 3, 21
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\GlobalStyles.css", "CSS", 0, 0, 0, 96, 0, 7, 20, 123
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\GoogleAuth.js", "JavaScript", 0, 59, 0, 0, 0, 0, 10, 69
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\Header.js", "JavaScript", 0, 26, 0, 0, 0, 23, 4, 53
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\Login.js", "JavaScript", 0, 27, 0, 0, 0, 0, 5, 32
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\LoginForm.js", "JavaScript", 0, 73, 0, 0, 0, 28, 12, 113
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\Modal.js", "JavaScript", 0, 20, 0, 0, 0, 0, 2, 22
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\MessageGroupCreate.js", "JavaScript", 0, 41, 0, 0, 0, 0, 6, 47
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\MessageGroupDelete.js", "JavaScript", 0, 43, 0, 0, 0, 0, 7, 50
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\MessageGroupEdit.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\MessageGroupForm.js", "JavaScript", 0, 90, 0, 0, 0, 0, 13, 103
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\MessageGroupItem.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\MessageGroupList.js", "JavaScript", 0, 106, 0, 0, 0, 0, 7, 113
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\MessagesPage.js", "JavaScript", 0, 29, 0, 0, 0, 0, 3, 32
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\ScheduledMessage.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\ScheduledMessageCreate.js", "JavaScript", 0, 34, 0, 0, 0, 0, 5, 39
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\ScheduledMessageForm.js", "JavaScript", 0, 102, 0, 0, 0, 8, 15, 125
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\messages\ScheduledMessageList.js", "JavaScript", 0, 107, 0, 0, 0, 3, 9, 119
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\users\UserCreate.js", "JavaScript", 0, 39, 0, 0, 0, 0, 3, 42
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\users\UserDelete.js", "JavaScript", 0, 43, 0, 0, 0, 0, 8, 51
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\users\UserEdit.js", "JavaScript", 0, 46, 0, 0, 0, 11, 9, 66
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\users\UserExtendSubscription.js", "JavaScript", 0, 48, 0, 0, 0, 0, 6, 54
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\users\UserForm.js", "JavaScript", 0, 101, 0, 0, 0, 10, 9, 120
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\users\UserList.js", "JavaScript", 0, 270, 0, 0, 0, 3, 19, 292
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\users\UserMessageSend.js", "JavaScript", 0, 56, 0, 0, 0, 3, 7, 66
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\users\UserShow.js", "JavaScript", 0, 84, 0, 0, 0, 0, 7, 91
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\users\UserSummary.js", "JavaScript", 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\history.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\index.js", "JavaScript", 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\reducers\authReducer.js", "JavaScript", 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\reducers\index.js", "JavaScript", 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\reducers\messageGroupReducer.js", "JavaScript", 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\reducers\scheduledMessageReducer.js", "JavaScript", 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\reducers\userReducer.js", "JavaScript", 0, 24, 0, 0, 0, 0, 1, 25
"Total", "-", 23, 1848, 17258, 96, 38, 125, 294, 19682
