"filename", "language", "JSON", "YAML", "Docker", "Ignore", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\docs\swaggerDef.js", "JavaScript", 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\index.js", "JavaScript", 0, 0, 0, 0, 33, 0, 0, 6, 39
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\middlewares\auth.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 6, 32
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\middlewares\error.js", "JavaScript", 0, 0, 0, 0, 36, 0, 1, 8, 45
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\middlewares\rateLimiter.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\middlewares\validate.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 4, 22
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\models\index.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\models\plugins\index.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\models\plugins\paginate.plugin.js", "JavaScript", 0, 0, 0, 0, 44, 0, 19, 8, 71
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\models\plugins\toJSON.plugin.js", "JavaScript", 0, 0, 0, 0, 31, 0, 6, 7, 44
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\models\token.model.js", "JavaScript", 0, 0, 0, 0, 36, 0, 4, 5, 45
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\models\user.model.js", "JavaScript", 0, 0, 0, 0, 69, 0, 15, 8, 92
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\routes\v1\auth.route.js", "JavaScript", 0, 0, 0, 0, 15, 0, 264, 13, 292
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\routes\v1\docs.route.js", "JavaScript", 0, 0, 0, 0, 8, 0, 12, 2, 22
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\routes\v1\index.js", "JavaScript", 0, 0, 0, 0, 31, 0, 2, 7, 40
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\routes\v1\user.route.js", "JavaScript", 0, 0, 0, 0, 16, 0, 229, 8, 253
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\services\auth.service.js", "JavaScript", 0, 0, 0, 0, 66, 0, 27, 7, 100
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\services\email.service.js", "JavaScript", 0, 0, 0, 0, 36, 0, 22, 6, 64
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\services\index.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\services\token.service.js", "JavaScript", 0, 0, 0, 0, 76, 0, 37, 10, 123
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\services\user.service.js", "JavaScript", 0, 0, 0, 0, 48, 0, 35, 8, 91
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\utils\ApiError.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\utils\catchAsync.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\utils\pick.js", "JavaScript", 0, 0, 0, 0, 9, 0, 7, 2, 18
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\validations\auth.validation.js", "JavaScript", 0, 0, 0, 0, 52, 0, 0, 9, 61
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\validations\custom.validation.js", "JavaScript", 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\validations\index.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\validations\user.validation.js", "JavaScript", 0, 0, 0, 0, 48, 0, 0, 7, 55
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\tests\fixtures\token.fixture.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\tests\fixtures\user.fixture.js", "JavaScript", 0, 0, 0, 0, 40, 0, 0, 7, 47
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\tests\integration\auth.test.js", "JavaScript", 0, 0, 0, 0, 463, 0, 0, 125, 588
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\tests\integration\docs.test.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\tests\integration\user.test.js", "JavaScript", 0, 0, 0, 0, 517, 0, 0, 109, 626
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\tests\unit\middlewares\error.test.js", "JavaScript", 0, 0, 0, 0, 137, 0, 0, 32, 169
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\tests\unit\models\plugins\paginate.plugin.test.js", "JavaScript", 0, 0, 0, 0, 49, 0, 0, 13, 62
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\tests\unit\models\plugins\toJSON.plugin.test.js", "JavaScript", 0, 0, 0, 0, 80, 0, 1, 9, 90
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\tests\unit\models\user.model.test.js", "JavaScript", 0, 0, 0, 0, 49, 0, 0, 9, 58
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\tests\utils\setupTestDB.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 5, 19
"Total", "-", 136, 150, 8, 2, 2428, 311, 693, 687, 4415
